"c_deklaag"	"kwelmm"	"min_lensdikte"	"gem_lensdikte"	"max_lensdikte"	"P"
1000	0.521403483414813	1.31454124215571	2.35936855682292	2.66034983690402	0.271894936673446
1100	0.480389651849389	1.34450575138439	2.3901728656213	2.69124876751547	0.268199751733639
1200	0.445500819338757	1.37214754804929	2.41853087169667	2.71968737348937	0.264888885646371
1300	0.41544639804031	1.39780529141967	2.44480693350581	2.74603294732116	0.261895747881299
1400	0.389276698822244	1.42174814005873	2.46928920172141	2.77057580359525	0.25916921813938
1500	0.366276919583358	1.44419362839724	2.4922095587176	2.79354945658584	0.256669261357456
1600	0.345898483336337	1.46532012628851	2.51375742156573	2.81514457791907	0.254363981840319
1700	0.327713195012686	1.48527574315841	2.53408954745404	2.8355189055175	0.252227587356194
1800	0.311381816595095	1.5041848310617	2.5533371571643	2.85480443819912	0.250238947198726
1900	0.296632023215532	1.52215282544574	2.57161121268449	2.87311276327929	0.248380548805311
2000	0.283242621616966	1.5392699097021	2.5890063955596	2.89053907077299	0.246637728364564
2100	0.271032045269136	1.55561383121841	2.60560415240009	2.90716522508089	0.244998093852467
2200	0.259849829915505	1.5712520946757	2.6214750586605	2.92306214819212	0.243451085818155
2300	0.249570204344267	1.58624369115187	2.6366806762423	2.9382916919107	0.241987638476536
2400	0.240087207226973	1.60064047632581	2.65127502982526	2.95290812534192	0.240599914979206
2500	0.231310921488169	1.61448828005875	2.66530579227813	2.96695932891465	0.239281098310974
2600	0.223164538257175	1.62782780790625	2.67881524540886	2.98048776185301	0.238025224437239
2700	0.215582044334325	1.64069537978233	2.69184106537057	2.99353125288118	0.236827047915654
2800	0.208506383702266	1.65312353988521	2.70441696980908	3.0061236515874	0.235681932723767
2900	0.201887983251373	1.66514156394939	2.71657325500912	3.01829536895401	0.234585762864734
3000	0.195683561083276	1.67677588391829	2.72833724476603	3.03007382896659	0.23353486862869
3100	0.18985515604981	1.68805044568389	2.73973366785848	3.04148384831731	0.232525965351696
3200	0.184369331962946	1.69898701218603	2.75078497734961	3.05254795753663	0.23155610222969
3300	0.179196520804283	1.7096054216009	2.76151162216321	3.06328667408113	0.230622619282194
3400	0.174310477362022	1.7199238083842	2.77193227925569	3.07371873576144	0.229723110966786
3500	0.169687823806526	1.72995879341682	2.78206405306509	3.08386130124066	0.228855395255416
3600	0.165307667338085	1.73972564829465	2.79192264761917	3.09373012302396	0.22801748722439
3700	0.161151277559897	1.74923843787792	2.80152251568808	3.10333969735542	0.227207576394773
3800	0.15720181294952	1.75851014447181	2.8108769885683	3.11270339463317	0.226424007205615
3900	0.153444087914899	1.76755277640372	2.81999838943586	3.12183357330045	0.225665262118257
4000	0.149864373566389	1.77637746329979	2.82889813271089	3.13074167967031	0.224929946939877
